location,beds,bath,price,year_built,sqft,price_per_sqft
New York,3,3,1849551,2005,1353,1367
New York,3,3,1849551,2005,1353,1367
New York,2,2,1995114,1986,1406,1419
New York,2,2,2900800,1987,1600,1813
New York,2,2,2498606,2004,1658,1507
New York,2,2,1575560,1930,1324,1190
New York,3,3,1494640,1990,1360,1099
New York,1,1,529100,1986,650,814
New York,3,3,2695814,2006,1991,1354
New York,3,3,2695814,2006,1991,1354
New York,4,3,3895947,2001,2277,1711
San Francisco,1,1,550240,1982,724,760
San Francisco,2,2,848720,1982,1030,824
San Francisco,3,2,1749350,1900,2950,593
San Francisco,1,1,798721,2008,847,943
San Francisco,1,1.5,899407,1997,1453,619
San Francisco,1,1,598080,2005,534,1120
San Francisco,1,2,1088172,1998,1086,1002
San Francisco,1,1,798222,1926,769,1038
San Francisco,1,1,798222,1926,769,1038
San Francisco,1,1,1494675,1927,2275,657
San Francisco,4,4,4300695,2006,3321,1295
San Francisco,1,1,699300,2008,756,925
San Francisco,2,2,335040,2000,1047,320
San Francisco,1,1.5,848631,1996,1127,753
San Francisco,1,1.5,1364343,1996,1607,849
San Francisco,1,1,649062,2011,674,963
San Francisco,3,3,1244484,1907,1503,828
San Francisco,1,1,649400,1983,850,764
San Francisco,2,2,1700000,1987,1250,1360
San Francisco,2,2,1980212,2009,1469,1348
San Francisco,2,2,3599708,2009,1652,2179
San Francisco,2,3,4995200,2009,2230,2240
San Francisco,2,2,1298080,2008,1159,1120
San Francisco,2,2,2149344,2008,1317,1632
San Francisco,3,2,1995330,2006,1362,1465
San Francisco,2,2,1649840,1937,1640,1006
San Francisco,1,1,949248,2010,824,1152
San Francisco,1,1,187600,2000,670,280
San Francisco,3,2.5,1993838,2008,2354,847
San Francisco,3,2.5,1993838,2008,2354,847
San Francisco,2,2,2799424,2008,1328,2108
San Francisco,2,2.5,1049600,2000,1640,640
San Francisco,2,2,894852,2006,1113,804
San Francisco,1,1,997568,2006,872,1144
San Francisco,2,2,1658960,2000,1165,1424
San Francisco,1,1,788319,2004,903,873
San Francisco,2,2,1395364,2001,1334,1046
San Francisco,2,2,1298982,2004,1453,894
San Francisco,2,2.5,849728,2000,1136,748
San Francisco,3,2.5,2848975,2013,2075,1373
San Francisco,2,2,949790,2000,1258,755
San Francisco,2,2,1599972,2002,1173,1364
San Francisco,3,2,1275198,2001,1502,849
San Francisco,1,1.5,774880,2009,835,928
San Francisco,3,2,1398357,1892,1809,773
San Francisco,2,2,878750,1912,950,925
San Francisco,1,1,699000,1907,932,750
San Francisco,1,1,984776,1978,884,1114
San Francisco,1,1,724966,1978,1063,682
San Francisco,2,2,849200,1911,1100,772
San Francisco,1,1,618285,1973,705,877
San Francisco,2,2,5949600,1989,3700,1608
San Francisco,4,4,1799325,1948,2475,727
San Francisco,2,2.5,2349432,2008,1314,1788
San Francisco,1,1,739772,1920,989,748
San Francisco,1,1,698880,1982,780,896
San Francisco,2,2,958005,2005,915,1047
San Francisco,2,2,1200444,1909,1302,922
San Francisco,3,3,1574265,1993,2233,705
San Francisco,2,2,1199000,1964,1100,1090
San Francisco,1,1,529179,1966,791,669
San Francisco,1,1,698720,1984,880,794
San Francisco,3,2,1294775,1926,1675,773
San Francisco,4,4,1800149,1948,2347,767
San Francisco,1,1,794970,2000,990,803
San Francisco,2,2,778912,2007,808,964
San Francisco,1,1.5,379000,2000,1000,379
San Francisco,4,2.3,1398012,1904,2492,561
San Francisco,2,1.3,1097355,1904,1493,735
San Francisco,1,1,669747,2014,507,1321
San Francisco,2,2,1198553,2014,943,1271
San Francisco,2,2,1095275,2010,1135,965
San Francisco,1,2,795256,2014,616,1291
San Francisco,3,2,979200,1900,1440,680
San Francisco,3,3,1488900,1977,2100,709
San Francisco,3,2,1388308,1908,1546,898
San Francisco,3,2,1388308,1908,1546,898
San Francisco,4,2,1098489,1962,1267,867
San Francisco,3,3.5,1800015,1900,2449,735
San Francisco,3,2,1249900,1924,1450,862
San Francisco,3,2,998448,1907,1464,682
San Francisco,3,2.5,1300464,1975,1642,792
San Francisco,1,1,538840,2000,709,760
San Francisco,1,1,735376,1983,779,944
San Francisco,3,2,687357,1942,1441,477
San Francisco,2,1,859100,1890,1100,781
San Francisco,3,2,698750,1964,1250,559
San Francisco,2,1,749700,1924,980,765
San Francisco,3,2,548216,1915,1972,278
San Francisco,6,3,1599241,1926,2567,623
San Francisco,2,2,875500,1909,1700,515
San Francisco,4,3,899470,2003,1870,481
San Francisco,3,2,747302,1930,1522,491
San Francisco,2,1.5,749488,1949,1348,556
San Francisco,2,1,598829,1942,707,847
San Francisco,3,1,649250,1940,1325,490
San Francisco,2,2,649440,1924,1320,492
San Francisco,2,1,798475,1929,1025,779
San Francisco,5,2,898220,1972,1940,463
San Francisco,3,1.5,698750,1910,1625,430
San Francisco,3,2,748935,1907,1513,495
San Francisco,3,2,534432,1967,1824,293
San Francisco,2,1,699300,1913,900,777
San Francisco,2,1,699300,1913,900,777
San Francisco,2,1,500214,1958,1166,429
San Francisco,3,2.5,878176,1981,2111,416
San Francisco,3,2.5,878176,1981,2111,416
San Francisco,4,2.5,699048,1982,1752,399
San Francisco,2,1,688145,1950,1145,601
San Francisco,3,2,1194976,1907,1396,856
San Francisco,3,2,1194976,1907,1396,856
San Francisco,1,1,696776,1922,694,1004
San Francisco,5,3.5,3996550,1905,3350,1193
San Francisco,1,1,649800,1955,600,1083
San Francisco,1,1,649800,1955,600,1083
San Francisco,1,1,775200,1955,600,1292
San Francisco,1,1,825000,1955,600,1375
San Francisco,2,1,699060,1907,915,764
San Francisco,3,2,1495680,1927,1520,984
San Francisco,4,4.5,5198040,1952,4813,1080
San Francisco,2,2,988988,1984,988,1001
San Francisco,3,1,1094355,1895,1465,747
San Francisco,1,1,725034,1900,811,894
San Francisco,1,1,725034,1900,811,894
San Francisco,4,4,2648304,1900,3816,694
San Francisco,2,2,1679800,1962,1850,908
San Francisco,1,1,1199367,1906,1139,1053
San Francisco,3,2.5,799400,1947,1400,571
San Francisco,3,2,795150,1954,1350,589
San Francisco,2,1,699485,1944,995,703
San Francisco,3,2,847500,1940,1500,565
San Francisco,3,2,899100,1948,1665,540
San Francisco,3,2,899100,1948,1665,540
San Francisco,6,4,1198650,1937,1965,610
San Francisco,3,3,1100594,1925,2633,418
San Francisco,6,3.5,949632,1918,2473,384
San Francisco,5,5,2990000,2014,5000,598
San Francisco,4,3,1339750,1940,2330,575
San Francisco,3,2.5,1388745,1928,1905,729
San Francisco,3,2,989051,1940,1603,617
San Francisco,3,1,1295332,1890,1772,731
San Francisco,6,6,6895200,1902,7800,884
San Francisco,2,2,1724885,1922,1415,1219
San Francisco,3,3,1995430,1922,1915,1042
San Francisco,0,1,498780,1900,510,978
San Francisco,0,1,498780,1900,510,978
San Francisco,1,1,599040,1900,624,960
San Francisco,1,1,599040,1900,624,960
San Francisco,3,2,1200540,1929,1284,935
San Francisco,3,2,1394611,1909,1877,743
San Francisco,3,3,1784820,1925,1970,906
San Francisco,3,2,1098578,1905,1457,754
San Francisco,5,5.5,3495410,1921,4310,811
San Francisco,3,2,2395013,1929,2323,1031
San Francisco,4,2.5,2548288,1907,2746,928
San Francisco,3,2,994602,2000,1393,714
San Francisco,5,3.5,6494081,1906,4609,1409
San Francisco,4,3,1697761,1890,1789,949
San Francisco,5,2,6298845,1914,3585,1757
San Francisco,3,3,1138276,2008,1532,743
San Francisco,3,2,1080562,1914,1954,553
San Francisco,4,1,1049598,1932,1767,594
San Francisco,1,1,740250,1941,875,846
San Francisco,4,4,1595000,1925,2750,580
San Francisco,2,1,699600,1907,1200,583
San Francisco,2,1,799250,1938,1150,695
San Francisco,4,2.5,994080,1915,2180,456
San Francisco,2,1,828980,1925,1145,724
San Francisco,2,1,875448,1908,1158,756
San Francisco,5,3,950690,1939,1846,515
San Francisco,2,1,749650,1936,1450,517
San Francisco,2,1,749650,1936,1450,517
San Francisco,6,6.5,9501260,1937,5420,1753
San Francisco,4,3,3596264,1931,3017,1192
San Francisco,2,1.5,1425280,1925,1360,1048
San Francisco,1,1,864960,1993,960,901
San Francisco,2,2.5,2494611,1940,1809,1379
San Francisco,2,2,2000724,1925,1518,1318
San Francisco,4,3.5,9897432,2008,6024,1643
San Francisco,3,2,357750,1989,1325,270
San Francisco,3,2.5,898586,2015,1391,646
San Francisco,3,2.5,929188,2015,1391,668
San Francisco,4,4,849680,1928,2470,344
San Francisco,2,1,648000,1921,1125,576
San Francisco,2,1,480080,1915,680,706
San Francisco,1,1,499264,1900,1076,464
San Francisco,4,2,689364,1951,1473,468
San Francisco,2,2,669036,1986,1317,508
San Francisco,2,1.5,728640,1942,1012,720
San Francisco,2,2,767280,1916,1380,556
San Francisco,3,1,659680,1900,1520,434
San Francisco,2,1,994800,1908,600,1658
San Francisco,2,1,760225,1941,1175,647
San Francisco,6,3.5,994840,2001,3080,323
San Francisco,2,1,724880,1945,1040,697
San Francisco,4,3,3420597,1926,5113,669
San Francisco,3,2,1650375,1922,2025,815
San Francisco,3,3.5,2251278,1928,3258,691
San Francisco,3,1,1319256,1925,1752,753
San Francisco,5,3.5,1697397,1966,2769,613
San Francisco,3,2,1048770,1947,1626,645
San Francisco,2,2,599090,1990,862,695
San Francisco,5,3.5,2995300,1947,3890,770
San Francisco,3,2,994410,1956,1305,762
San Francisco,1,1,349800,1908,600,583
San Francisco,2,1,550400,1908,800,688
San Francisco,4,4,3760615,1900,3085,1219
San Francisco,3,2,1049514,1922,1266,829
San Francisco,2,2,1894724,1907,1756,1079
San Francisco,1,1,599080,1961,680,881
San Francisco,4,3,1894048,2001,2041,928
San Francisco,3,2,1798200,1926,1800,999
San Francisco,2,1,599400,1908,1350,444
San Francisco,2,1,1494300,1908,1700,879
San Francisco,3,2,1595295,1961,1515,1053
San Francisco,3,2,848306,1947,1622,523
San Francisco,4,3.5,1993824,1992,3312,602
San Francisco,3,2,1494390,1937,1635,914
San Francisco,3,3.5,2194016,1922,2168,1012
San Francisco,4,2,1797850,1951,2050,877
San Francisco,2,2,849030,1978,1555,546
San Francisco,3,2,1159770,1977,1731,670
San Francisco,3,2.5,995172,1976,1959,508
San Francisco,4,3,1387750,1968,2275,610
San Francisco,5,3.5,2248587,1962,3729,603
San Francisco,3,2,1080516,1989,1524,709
San Francisco,3,2.5,1094648,1968,1868,586
San Francisco,2,1,598950,1972,990,605
San Francisco,2,1,914481,1954,1251,731
San Francisco,2,1,914481,1954,1251,731
San Francisco,3,2,725208,1975,1474,492
San Francisco,3,2.5,1588794,2015,2001,794
San Francisco,2,1,795048,1941,1256,633
San Francisco,2,1,795048,1941,1256,633
San Francisco,4,2,847690,1949,1646,515
San Francisco,1,1,438886,2002,667,658
San Francisco,3,2,850190,1958,1310,649
San Francisco,2,1,599412,1941,1254,478
San Francisco,3,2.5,1540264,2014,2024,761
San Francisco,3,2.5,1339524,2015,2133,628
San Francisco,3,2.5,1294731,2015,2133,607
San Francisco,3,2.5,1610805,2015,2001,805
San Francisco,2,2,1494502,1913,1174,1273
San Francisco,1,1,699000,1908,750,932
San Francisco,2,2.5,3495168,1900,1968,1776
San Francisco,4,2,699050,1949,1550,451
San Francisco,2,1,699300,1949,1050,666
San Francisco,3,3,887905,1975,1555,571
San Francisco,1,1,598819,1945,631,949
San Francisco,3,3,757107,1989,2157,351
San Francisco,2,2,1697760,2008,1620,1048
San Francisco,2,2,1697760,2008,1620,1048
San Francisco,1,1,848788,2012,886,958
San Francisco,2,2,1674464,2012,1562,1072
San Francisco,2,2,1695330,2007,1610,1053
San Francisco,3,2,2218755,2012,1921,1155
San Francisco,1,1,788319,2004,903,873
San Francisco,2,2,1949300,1995,1930,1010
San Francisco,0,1,538840,2000,709,760
San Francisco,2,2,848720,1982,1030,824
San Francisco,2,2.5,2494611,1940,1809,1379
San Francisco,4,4,3760615,1894,3085,1219
San Francisco,3,2,1798200,1926,1800,999
San Francisco,5,2.5,1800778,1890,3073,586
San Francisco,2,1,694925,1923,1045,665
San Francisco,3,2,1650579,1922,1483,1113
San Francisco,1,1,649400,1983,850,764
San Francisco,3,2,994410,1956,1305,762
Boston,4,2,1106283,1970,2217,499
Boston,4,2.5,1604205,1992,2295,699
Boston,4,2.5,1574400,2009,1968,800
Boston,3,2.5,1153449,1996,2013,573
Boston,2,1.5,899388,1995,1494,602
Boston,3,2.5,1022598,2006,1959,522
Boston,3,2,832677,2002,1689,493
Boston,3,2,625991,2001,1601,391
Boston,1,1.5,1710786,2003,1518,1127
Boston,3,2,1781520,2004,1713,1040
Boston,2,2,1590446,1985,1742,913
Boston,2,2,764460,1989,1644,465
Boston,3,2.5,1652672,2005,1904,868
Boston,3,2.5,2056040,2005,2098,980
Boston,3,2.5,1510938,2007,2574,587
Boston,4,2,921920,1958,2144,430
Boston,3,2.5,1012442,1988,2062,491
Boston,2,2,1801394,1970,1561,1154
Boston,3,2,1080162,1972,1494,723
Boston,2,2,993384,1975,1533,648
Boston,3,2.5,960076,1998,1924,499
Boston,3,2.5,1103376,2006,2172,508
Boston,3,2,723276,2003,1629,444
Boston,3,2.5,1495626,2003,2046,731
Boston,3,2,1286028,2002,1668,771
Boston,0,1.5,1008369,2001,1593,633
Boston,1,2,1963090,1959,1801,1090
Boston,4,2.5,2265480,1995,2520,899
Boston,4,2.5,931408,1995,2531,368
Boston,4,2.5,2260920,1999,2270,996
Boston,3,3,2776935,1880,3493,795
Boston,3,2,1161368,2007,1718,676
Boston,4,3.5,1026270,1976,2715,378
Boston,4,2.5,2113020,1986,2730,774
Boston,2,2,1471968,1971,1824,807
Boston,4,2.5,2429910,2007,2610,931
Boston,4,2.5,2151162,2003,2262,951
Boston,3,2,1518000,2004,2000,759
Boston,3,2,1952784,2007,1704,1146
Boston,3,2,1824438,2004,1694,1077
Boston,4,3.5,2214156,2004,2452,903
Boston,3,1.5,1635498,1939,1954,837
Boston,3,2,881986,2007,1726,511
Boston,3,2,1693800,2002,1800,941
Boston,3,2.5,1855886,2000,2153,862
Boston,3,2,1656168,2007,1828,906
Boston,3,2.5,1224423,1932,2727,449
Boston,4,2.5,3000830,1998,2630,1141
Boston,2,2,1696474,2006,1838,923
Boston,3,2.5,1640232,1996,2398,684
Boston,1,1.5,1257880,1983,2132,590
Boston,4,2.5,1696478,2004,2473,686
Boston,3,2,1810886,2007,1694,1069
Boston,2,2,1242885,2007,1869,665
Boston,3,2,1469930,2005,1826,805
Boston,2,2,1744992,2005,1752,996
Boston,5,3,2693592,1990,3222,836
Boston,4,2.5,2124706,2005,2462,863
Boston,3,2,1424622,2007,1698,839
Boston,1,1.5,1608984,1993,1719,936
Boston,3,3.5,2117325,1893,2775,763
Boston,4,2.5,2569104,2005,2504,1026
Boston,4,3.5,2292840,2005,2376,965
Boston,3,1.5,1389523,2007,2161,643
Boston,3,2,1500350,2004,1850,811
Boston,2,2,1408216,1999,1709,824
Boston,4,2.5,1695287,1989,2519,673
Boston,3,2.5,1830510,1999,2365,774
Boston,3,2.5,1645776,2007,2078,792
Boston,4,3,1045584,2004,2466,424
Boston,3,2.5,2422836,1993,2418,1002
Boston,4,3.5,2240348,2006,2596,863
Boston,4,2.5,1173536,1972,2704,434
Boston,4,3,2031176,2005,2324,874
Boston,2,2.5,796601,1995,2113,377
Boston,4,2.5,876256,2004,2224,394
Boston,4,2.5,1073580,2004,2468,435
Boston,4,2.5,1347868,1934,3194,422
Boston,3,2,1222776,2003,1944,629
Boston,4,2.5,1481200,2006,2576,575
Boston,2,2,780780,2005,2028,385
Boston,2,2.5,1250328,2009,1766,708
Boston,2,2,1309860,2007,1710,766
Boston,3,2.5,1196910,2008,2046,585
Boston,2,2,1711360,2003,1792,955
Boston,3,2,2357688,1965,2036,1158
Boston,3,2,1908546,2005,1922,993
Boston,3,2.5,1770810,2006,2643,670
Boston,4,2.5,2340128,2007,2696,868
Boston,0,0.5,2125668,1981,1842,1154
Boston,2,2,1990220,2007,2084,955
Boston,3,2,1322776,2003,2392,553
Boston,2,2,1437447,2007,1419,1013
Boston,1,1.5,1531200,2010,1856,825
Boston,3,2,1917756,1924,1973,972
Boston,4,2.5,986544,1918,2448,403
Boston,3,2.5,1375620,1928,2020,681
Boston,4,2.5,2226818,1937,2794,797
Boston,3,2.5,1160580,1950,2668,435
Boston,3,2.5,920514,1942,2121,434
Boston,1,1.5,2105388,1947,2097,1004
Boston,3,2.5,1499476,1937,2332,643
Boston,4,3,2437140,1920,3228,755
Boston,4,2.5,3063544,1946,2728,1123
Boston,3,3.5,2700565,1910,2945,917
Boston,2,2,794352,1950,1976,402
Boston,3,2.5,1551836,1942,2713,572
Boston,3,2.5,1480920,1943,2296,645
Boston,4,2.5,2435400,1926,3608,675
Boston,4,3.5,2339300,1946,3140,745
Boston,1,2,2363572,1923,2234,1058
Boston,4,3.5,1554246,1917,3279,474
Boston,2,2,1582918,1928,2402,659
Boston,4,3.5,1391246,1936,2822,493
Boston,2,2.5,1806096,1926,2364,764
Boston,4,3.5,1601236,1924,4316,371
Boston,3,2.5,786600,1946,1710,460
Boston,3,2,776360,1923,1493,520
Boston,2,2,1547784,1924,1554,996
Boston,3,1.5,786435,1934,1635,481
Boston,4,2.5,1066572,1919,1908,559
Boston,3,2,1286656,1918,1436,896
Boston,3,2.5,1796700,1947,1590,1130
Boston,4,2.5,1757180,1935,2060,853
Boston,3,2.5,1126092,1940,1796,627
Boston,1,1.5,877168,1921,1502,584
Boston,3,2.5,1370325,1945,1661,825
Boston,3,2.5,1451528,1931,1768,821
Boston,3,2.5,1828250,1923,1775,1030
Boston,3,2,976472,1949,1484,658
Boston,3,2,1150800,1928,1680,685
Boston,3,2.5,1622691,1939,1797,903
Boston,3,2,1605468,1911,1588,1011
Boston,3,2,1514496,1924,1536,986
Boston,3,2,1445970,1950,1535,942
Boston,5,2,1118216,1935,2134,524
Boston,3,1,712080,1945,1656,430
Boston,3,2,698472,1928,1602,436
Boston,3,2.5,1255527,1943,1911,657
Boston,3,2.5,1735485,1927,1961,885
Boston,2,2,767312,1936,1456,527
Boston,3,2.5,1251523,1927,1547,809
Boston,4,2.5,723240,1926,1960,369
Boston,3,2,1602828,1923,1836,873
Boston,3,2,1084320,1946,2259,480
Boston,3,2,945702,1944,1494,633
Boston,3,2,1763937,1924,1647,1071
Boston,3,2.5,1482786,1946,2034,729
Boston,4,2.5,1611808,1949,1928,836
Boston,3,2.5,993885,1992,1915,519
Boston,2,2,478224,2001,1296,369
Boston,3,2,1673526,2005,1541,1086
Boston,3,2.5,1555880,2006,1604,970
Boston,4,2.5,706176,1998,1839,384
Boston,3,2,862038,2002,1494,577
Boston,3,2,892542,2005,1614,553
Boston,3,2,1943760,1988,1680,1157
Boston,2,2.5,1622844,2009,1478,1098
Boston,3,2.5,1405452,1998,2031,692
Boston,3,2.5,2163205,2001,2035,1063
Boston,3,1.5,868376,1923,1576,551
Boston,3,2.5,1057312,2001,1786,592
Boston,2,2,1203188,2009,1358,886
Boston,3,2.5,1296072,2009,1692,766
Boston,3,2,1843710,1998,1661,1110
Boston,3,3,2072256,1948,2008,1032
Boston,3,2,1390496,1953,2287,608
Boston,4,2.5,1078883,1990,2243,481
Boston,3,2.5,1629020,2003,1733,940
Boston,3,2,1552308,2007,1496,1038
Boston,4,2.5,2291531,1966,2157,1062
Boston,3,2.5,1185000,2001,1929,614
Boston,3,2,849750,1980,1479,575
Boston,3,2.5,1194649,1920,1768,676
Boston,3,2,450000,2008,1428,315
Boston,3,3,1194649,2007,1761,678
Boston,2,2.5,1185000,1981,1707,694
Boston,3,2.5,624800,1993,2097,298
Boston,3,2.5,1579750,1989,1982,797
Boston,3,2,733217,1965,1786,411
Boston,4,2.5,1223600,1988,2183,561
Boston,3,2.5,1087366,1999,1852,587
